key,value,reference value,description
inapp_portal.reactivate_confirm.txt,,Are you sure you want to reactivate this subscription?,Are you sure you want to reactivate this subscription?
inapp_portal.remove_cancellation.confirm_txt,,Are you sure you want to remove the scheduled cancellation?,Are you sure you want to remove the scheduled cancellation?
inapp_portal.remove_scheduled_changes_confirm.txt,,Are you sure you want to remove the scheduled changes?,Are you sure you want to remove the scheduled changes?
inapp_portal.modal_button.confirm,,Confirm,Confirm
inapp_portal.modal_button.cancel,,Cancel,Cancel
inapp_portal.subscriptions.load_more,,Load more,Load more
inapp_portal.subscriptions.more,,See all your subscriptions,See all your subscriptions
inapp_portal.portal_home.close,,Exit,Exit
inapp_portal.change_item.txt,,Change,Change
inapp_portal.add_addons.txt,,Add Addons,Add Addons
inapp_portal.add_addons.btn,,Add,Add
inapp_portal.edit_addon_item.btn,,Edit,Edit
inapp_portal.add_addons.non_rec.title,,ONE-TIME CHARGES,ONE-TIME CHARGES
inapp_portal.item.breakdown.show,,See Details,See Details
inapp_portal.item.breakdown.hide,,Hide Details,Hide Details
inapp_portal.subscription.view_breakup,,View breakdown,View breakdown
inapp_portal.payment_method.bacs.guarantee.header,,Back to Payment,Back to Payment
inapp_portal.payment_method.bank_account.btn.proceed_to_review,,Proceed to Review,Proceed to Review
inapp_portal.payment_method.bank_account.btn.enter_iban,,Enter IBAN,Enter IBAN
inapp_portal.payment_method.bank_account.btn.enter_local_details,,Enter local bank details,Enter local bank details
inapp_portal.payment_method.bank_account.btn.enter_your_name,,Enter your name,Enter your name
inapp_portal.payment_method.bank_account.btn.enter_company_name,,Enter company name,Enter company name
inapp_portal.payment_method.bank_account.stripe_ach_verify_note,,You have a maximum of 10 attempts to verify your payment method.,You have a maximum of 10 attempts to verify your payment method.
inapp_portal.home.gift_bar,,Gifted %{number} subscriptions,Gifted %{number} subscriptions
inapp_portal.home.gift_header,,GIFT SUBSCRIPTIONS,GIFT SUBSCRIPTIONS
inapp_portal.gift_tag.scheduled,,Gift to %{name} scheduled,Gift to %{name} scheduled
inapp_portal.gift_tag.unclaimed,,Gift yet to be claimed by %{name},Gift yet to be claimed by %{name}
inapp_portal.gift_tag.claimed,,Gifted to %{name},Gifted to %{name}
inapp_portal.gift_tag.canceled,,Gift to %{name} has been canceled,Gift to %{name} has been canceled
inapp_portal.gift_tag.expired,,Gifted to %{name} has been expired,Gifted to %{name} has been expired
inapp_portal.gift_details_notification.scheduled,,Your gift will be sent to the recipient via email on %{date},Your gift will be sent to the recipient via email on %{date}
inapp_portal.gift_details_notification.unclaimed,,Your gift is yet to be claimed by the recipient.,Your gift is yet to be claimed by the recipient.
inapp_portal.gift_details_notification.canceled,,Your gift has been canceled,Your gift has been canceled
inapp_portal.gift_details_notification.claimed,,,
inapp_portal.gift_details_notification.expired,,Your gift was not claimed by the recipient,Your gift was not claimed by the recipient
inapp_portal.gift.cancel_by_gifter,,Cancel the gift,Cancel the gift
inapp_portal.gift.cancel_by_gifter.warning,,Are you sure you want to cancel this gift?,Are you sure you want to cancel this gift?
inapp_portal.hierarchy.my_subscription.my_payment,,This subscription is paid by you and invoiced to you.,This subscription is paid by you and invoiced to you.
inapp_portal.hierarchy.my_subscription.my_invoice,,This subscription is paid by %{customer_display_info} and invoiced to you.,This subscription is paid by %{customer_display_info} and invoiced to you.
inapp_portal.hierarchy.my_subscription.parent_payment,,This subscription is paid by and invoiced to %{customer_display_info}.,This subscription is paid by and invoiced to %{customer_display_info}.
inapp_portal.hierarchy.my_subscription.paid_parent,,Paid by %{customer_display_info},Paid by %{customer_display_info}
inapp_portal.home.my_subscription.parent_pays,,Paid by %{customer_display_info},Paid by %{customer_display_info}
inapp_portal.home.child_sub_bar.multiple,,%{number} Child subscriptions,%{number} Child subscriptions
inapp_portal.home.child_sub_bar.single,,%{number} Child subscription,%{number} Child subscription
inapp_portal.home.child_sub_header,,Child subscriptions,Child subscriptions
inapp_portal.child_subs.navigation_header,,Child subscriptions,Child subscriptions
inapp_portal.see_parent_invoices,,See invoices paid by %{customer_display_info} for your subscritpions.,See invoices paid by %{customer_display_info} for your subscritpions.
inapp_portal.invoice.paid_for_child,,This invoice belongs to %{customer_display_info} and is paid by you.,This invoice belongs to %{customer_display_info} and is paid by you.
inapp_portal.invoice.parent_only,,You are seeing this invoice as you are the parent of this customer.,You are seeing this invoice as you are the parent of this customer.
inapp_portal.child_sub_detail.invoice.to_parent,,This subscription is paid by you and invoiced to you.,This subscription is paid by you and invoiced to you.
inapp_portal.child_sub_detail.invoice.to_child,,This subscription is paid by you and invoiced to %{customer_display_info}.,This subscription is paid by you and invoiced to %{customer_display_info}.
inapp_portal.child_sub_detail.payment_and_invoice.to_child,,This subscription is paid by and invoiced to %{customer_display_info}.,This subscription is paid by and invoiced to %{customer_display_info}.
inapp_portal.invoices.paid_py_parent,,%{customer_display_info} pays for this invoice.,%{customer_display_info} pays for this invoice.
inapp_portal.invoice,,Invoice # %{id},Invoice # %{id}
inapp_portal.payment_owner_billing_history.header,,Invoices of parent,Invoices of parent
inapp_portal.child_subscription.header,,Child subscription details,Child subscription details
inapp_portal.invoice.payment.status.not_paid,,Not Paid,Not Paid
inapp_portal.invoice.payment.status.paid,,Paid,Paid
inapp_portal.invoice.payment.status.payment_due,,Payment Due,Payment Due
inapp_portal.invoice.payment.status.pending,,Pending,Pending
inapp_portal.invoice.payment.status.posted,,Posted,Posted
inapp_portal.invoice.payment.status.to_collect,,Collecting,Collecting
inapp_portal.invoice.payment.status.upcoming,,Upcoming,Upcoming
inapp_portal.invoice.payment.status.voided,,Voided,Voided
